course_id,full_course_id
A&O SCI 1,Atmospheric and Oceanic Sciences 1
A&O SCI 1L,Atmospheric and Oceanic Sciences 1L
A&O SCI 3,Atmospheric and Oceanic Sciences 3
A&O SCI 3L,Atmospheric and Oceanic Sciences 3L
A&O SCI 51,Atmospheric and Oceanic Sciences 51
A&O SCI M71,Atmospheric and Oceanic Sciences M71
A&O SCI 99,Atmospheric and Oceanic Sciences 99
A&O SCI M100,Atmospheric and Oceanic Sciences M100
A&O SCI M105,Atmospheric and Oceanic Sciences M105
A&O SCI C110,Atmospheric and Oceanic Sciences C110
A&O SCI CM114A,Atmospheric and Oceanic Sciences CM114A
A&O SCI M120,Atmospheric and Oceanic Sciences M120
A&O SCI 123,Atmospheric and Oceanic Sciences 123
A&O SCI C144,Atmospheric and Oceanic Sciences C144
A&O SCI 145,Atmospheric and Oceanic Sciences 145
A&O SCI C160,Atmospheric and Oceanic Sciences C160
A&O SCI C170,Atmospheric and Oceanic Sciences C170
A&O SCI 189HC,Atmospheric and Oceanic Sciences 189HC
A&O SCI M192A,Atmospheric and Oceanic Sciences M192A
A&O SCI 192B,Atmospheric and Oceanic Sciences 192B
A&O SCI 199,Atmospheric and Oceanic Sciences 199
A&O SCI 202,Atmospheric and Oceanic Sciences 202
A&O SCI M203A,Atmospheric and Oceanic Sciences M203A
A&O SCI 203B,Atmospheric and Oceanic Sciences 203B
A&O SCI C205A,Atmospheric and Oceanic Sciences C205A
A&O SCI 209,Atmospheric and Oceanic Sciences 209
A&O SCI C222,Atmospheric and Oceanic Sciences C222
A&O SCI C227,Atmospheric and Oceanic Sciences C227
A&O SCI CM237A,Atmospheric and Oceanic Sciences CM237A
A&O SCI C240B,Atmospheric and Oceanic Sciences C240B
A&O SCI 270,Atmospheric and Oceanic Sciences 270
A&O SCI 271,Atmospheric and Oceanic Sciences 271
A&O SCI M275B,Atmospheric and Oceanic Sciences M275B
A&O SCI 296A,Atmospheric and Oceanic Sciences 296A
A&O SCI 296B,Atmospheric and Oceanic Sciences 296B
A&O SCI 296D,Atmospheric and Oceanic Sciences 296D
A&O SCI 296E,Atmospheric and Oceanic Sciences 296E
A&O SCI 296F,Atmospheric and Oceanic Sciences 296F
A&O SCI 296H,Atmospheric and Oceanic Sciences 296H
A&O SCI 296J,Atmospheric and Oceanic Sciences 296J
A&O SCI 296L,Atmospheric and Oceanic Sciences 296L
A&O SCI 296P,Atmospheric and Oceanic Sciences 296P
A&O SCI 596,Atmospheric and Oceanic Sciences 596
A&O SCI 597,Atmospheric and Oceanic Sciences 597
A&O SCI 598,Atmospheric and Oceanic Sciences 598
A&O SCI 599,Atmospheric and Oceanic Sciences 599
AERO ST A,Aerospace Studies A
AERO ST 1B,Aerospace Studies 1B
AERO ST 20B,Aerospace Studies 20B
AERO ST 130B,Aerospace Studies 130B
AERO ST 140B,Aerospace Studies 140B
AF AMER 2C,African American Studies 2C
AF AMER M8B,African American Studies M8B
AF AMER M10A,African American Studies M10A
AF AMER M18,African American Studies M18
AF AMER 99,African American Studies 99
AF AMER M103A,African American Studies M103A
AF AMER M104B,African American Studies M104B
AF AMER 106B,African American Studies 106B
AF AMER 112A,African American Studies 112A
AF AMER M113D,African American Studies M113D
AF AMER M116A,African American Studies M116A
AF AMER M124,African American Studies M124
AF AMER M148,African American Studies M148
AF AMER M154C,African American Studies M154C
AF AMER M158C,African American Studies M158C
AF AMER M173,African American Studies M173
AF AMER 184B,African American Studies 184B
AF AMER 188A,African American Studies 188A
AF AMER 197,African American Studies 197
AF AMER 198B,African American Studies 198B
AF AMER 199,African American Studies 199
AF AMER 201B,African American Studies 201B
AF AMER 241,African American Studies 241
AF AMER 596,African American Studies 596
AF AMER 597,African American Studies 597
AF AMER 598,African American Studies 598
AFRC ST 596,African Studies 596
AFRC ST 597,African Studies 597
AFRC ST 598,African Studies 598
AM IND M10,American Indian Studies M10
AM IND M18,American Indian Studies M18
AM IND 99,American Indian Studies 99
AM IND M116,American Indian Studies M116
AM IND C121,American Indian Studies C121
AM IND M162,American Indian Studies M162
AM IND 201,American Indian Studies 201
AM IND M208,American Indian Studies M208
AM IND C221,American Indian Studies C221
AM IND M267,American Indian Studies M267
AM IND 280A,American Indian Studies 280A
AM IND 596,American Indian Studies 596
AM IND 598,American Indian Studies 598
ANES 99,Anesthesiology and Perioperative Medicine 99
ANES 199,Anesthesiology and Perioperative Medicine 199
ANTHRO 1,Anthropology 1
ANTHRO 3,Anthropology 3
ANTHRO 19,Anthropology 19
ANTHRO 99,Anthropology 99
ANTHRO 100,Anthropology 100
ANTHRO 111,Anthropology 111
ANTHRO 116XP,Anthropology 116XP
ANTHRO 118Q,Anthropology 118Q
ANTHRO 119,Anthropology 119
ANTHRO 124Q,Anthropology 124Q
ANTHRO 129,Anthropology 129
ANTHRO 133,Anthropology 133
ANTHRO 135R,Anthropology 135R
ANTHRO 135S,Anthropology 135S
ANTHRO 137P,Anthropology 137P
ANTHRO 138P,Anthropology 138P
ANTHRO C144M,Anthropology C144M
ANTHRO 149,Anthropology 149
ANTHRO 154P,Anthropology 154P
ANTHRO M156,Anthropology M156
ANTHRO 189HC,Anthropology 189HC
