index,course_id,full_course_id,days_of_wk_cd,meet_strt_tm,meet_stop_tm,meet_bldg_cd,meet_room_cd,instructors,requisites_logic
0,A&O SCI 1,Atmospheric and Oceanic Sciences 1,MF,09:30 am,10:45 am,DODD,00121,"Baijnath-Rodino, J; Han, S.; Song, A.",
7,A&O SCI 1L,Atmospheric and Oceanic Sciences 1L,VAR,12:00 am,12:00 am,,,"Baijnath-Rodino, J; Han, S.; Song, A.","{'prerequisites': {'type': 'AND', 'conditions': ['Atmospheric  Oceanic Sciences 1']}, 'corequisites': None}"
8,A&O SCI 2,Atmospheric and Oceanic Sciences 2,VAR,12:00 am,12:00 am,ONLINE,00000LA,"Li, Q.; Tan, Q.; Fulginiti, C.; Chen, Z.",
18,A&O SCI 2L,Atmospheric and Oceanic Sciences 2L,VAR,12:00 am,12:00 am,ONLINE,00000LA,"Li, Q.; Tan, Q.; Fulginiti, C.; Chen, Z.","{'prerequisites': {'type': 'AND', 'conditions': ['Atmospheric  Oceanic Sciences 2']}, 'corequisites': None}"
19,A&O SCI 3,Atmospheric and Oceanic Sciences 3,MW,02:00 pm,03:15 pm,DODD,00175,"Baijnath-Rodino, J; Petrusevski, C.",
23,A&O SCI 3L,Atmospheric and Oceanic Sciences 3L,VAR,12:00 am,12:00 am,,,"Baijnath-Rodino, J; Petrusevski, C.","{'prerequisites': {'type': 'AND', 'conditions': ['Atmospheric  Oceanic Sciences 3']}, 'corequisites': None}"
24,A&O SCI M7,Atmospheric and Oceanic Sciences M7,MW,03:30 pm,04:45 pm,DODD,00121,"Varney, R.H.; Matsuura, R.",
28,A&O SCI 99,Atmospheric and Oceanic Sciences 99,VAR,12:00 am,12:00 am,,,"Tripati, A.K.",
29,A&O SCI 99,Atmospheric and Oceanic Sciences 99,VAR,12:00 am,12:00 am,,,"Paulson, S.E.",
30,A&O SCI 99,Atmospheric and Oceanic Sciences 99,VAR,12:00 am,12:00 am,,,"Stewart, A.L.",
31,A&O SCI 99,Atmospheric and Oceanic Sciences 99,VAR,12:00 am,12:00 am,,,"Eagle, R.A.",
32,A&O SCI 101,Atmospheric and Oceanic Sciences 101,TR,10:00 am,11:50 am,MS,07124B,"Kok, J.F.; Rosen, A.E.","{'prerequisites': {'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Mathematics 3B', 'Mathematics 31B']}, 'Life Sciences 30B', {'type': 'OR', 'conditions': ['Physics 1B', 'Physics 5B', 'Physics 5C', 'Physics 6B']}]}, 'corequisites': None}"
35,A&O SCI 103,Atmospheric and Oceanic Sciences 103,MW,11:00 am,12:15 pm,FRANZ,01260,"Stewart, A.L.; Cuadras, I.A.; Yeh, C.","{'prerequisites': {'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Mathematics 3B', 'Mathematics 31B']}]}, 'corequisites': None}"
40,A&O SCI 104,Atmospheric and Oceanic Sciences 104,MW,09:30 am,10:45 am,KNSY PV,01200B,"Chamecki, M.; Arnold, M.M.; Christopoulos, J.A","{'prerequisites': {'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Chemistry  Biochemistry 14B']}, 'Chemistry  Biochemistry 20B']}, 'corequisites': None}"
45,A&O SCI C111,Atmospheric and Oceanic Sciences C111,VAR,,,ONLINE,00000LA,"Lozinski, A.R.; Banach, C.A.",
47,A&O SCI 112,Atmospheric and Oceanic Sciences 112,TR,12:30 pm,01:50 pm,MS,07101,"Neelin, J.D.; Biyani, S.C.","{'prerequisites': {'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Life Sciences 30B', 'Life Sciences 40', 'Mathematics 3B', 'Mathematics 31B', 'Statistics 10', 'Statistics 12', 'Statistics 13']}]}, 'corequisites': None}"
49,A&O SCI 135,Atmospheric and Oceanic Sciences 135,TR,02:00 pm,03:15 pm,MS,07124A,"Bianchi, D.","{'prerequisites': {'type': 'AND', 'conditions': ['Atmospheric  Oceanic Sciences 103', 'Atmospheric  Oceanic Sciences M105']}, 'corequisites': None}"
