index,course_id,full_course_id,requisites,days_of_wk_cd,meet_strt_tm,meet_stop_tm,meet_bldg_cd,meet_room_cd,instructors
0,A&O SCI 1,Atmospheric and Oceanic Sciences 1,,TR,02:00 pm,03:15 pm,KAPLAN,A00051,"Seibt, U.; Bigwood, J.L.; Song, A.; Han, S."
10,A&O SCI 1L,Atmospheric and Oceanic Sciences 1L,"classname | minimumgrade | prerequisite | corequisite | rqs_sev
   Atmospheric and Oceanic Sciences 1  | D- | Yes | Yes | R",VAR,12:00 am,12:00 am,,,"Seibt, U.; Bigwood, J.L.; Song, A.; Han, S."
11,A&O SCI 3,Atmospheric and Oceanic Sciences 3,,TR,11:00 am,12:15 pm,DODD,00175,"Baijnath-Rodino, J; Petrusevski, C."
15,A&O SCI 3L,Atmospheric and Oceanic Sciences 3L,"classname | minimumgrade | prerequisite | corequisite | rqs_sev
   Atmospheric and Oceanic Sciences 3  | D- | --- | Yes | R",VAR,12:00 am,12:00 am,,,"Baijnath-Rodino, J; Petrusevski, C."
16,A&O SCI 51,Atmospheric and Oceanic Sciences 51,"classname | minimumgrade | prerequisite | corequisite | rqs_sev
(  Mathematics 3B or | C  | Yes | --- | R
   Mathematics 32A) and | C  | Yes | --- | R
(  Physics 1A or | C  | Yes | --- | R
   Physics 5A or | C  | Yes | --- | R
   Physics 5B)  | C  | Yes | --- | R",TR,09:30 am,10:45 am,MS,07124A,"Dong, Y."
17,A&O SCI M71,Atmospheric and Oceanic Sciences M71,,MW,01:00 pm,02:50 pm,GEOLOGY,05655,"Mitchell, J.L."
20,A&O SCI 99,Atmospheric and Oceanic Sciences 99,,VAR,12:00 am,12:00 am,,,"Baijnath-Rodino, J"
21,A&O SCI 99,Atmospheric and Oceanic Sciences 99,,VAR,12:00 am,12:00 am,,,"Eagle, R.A."
22,A&O SCI 99,Atmospheric and Oceanic Sciences 99,,VAR,12:00 am,12:00 am,,,"Tripati, A.K."
23,A&O SCI 99,Atmospheric and Oceanic Sciences 99,,VAR,12:00 am,12:00 am,,,"Paulson, S.E."
24,A&O SCI M100,Atmospheric and Oceanic Sciences M100,,TR,11:00 am,12:15 pm,MS,07124A,"Li, Q."
25,A&O SCI M105,Atmospheric and Oceanic Sciences M105,,TR,09:30 am,10:45 am,KAPLAN,A00065,"Bianchi, D.; Sandoval Belmar, M; Richardson, D."
30,A&O SCI C110,Atmospheric and Oceanic Sciences C110,"classname | minimumgrade | prerequisite | corequisite | rqs_sev
   Atmospheric and Oceanic Sciences 101  | D- | Yes | --- | R",TR,11:00 am,12:45 pm,MS,07101,"Chen, G."
31,A&O SCI CM114A,Atmospheric and Oceanic Sciences CM114A,,MW,10:00 am,11:30 am,GEOLOGY,04677,"Treude, T.I."
32,A&O SCI M120,Atmospheric and Oceanic Sciences M120,,TR,02:00 pm,03:30 pm,GEOLOGY,03645,"Schlichting, H.E."
33,A&O SCI 123,Atmospheric and Oceanic Sciences 123,,MW,10:30 am,12:00 pm,MS,07124B,"Bass, B."
34,A&O SCI C144,Atmospheric and Oceanic Sciences C144,"classname | minimumgrade | prerequisite | corequisite | rqs_sev
   Atmospheric and Oceanic Sciences 101  | B+ | Yes | --- | R",MW,10:30 am,11:45 am,MS,07124A,"Chamecki, M."
35,A&O SCI 145,Atmospheric and Oceanic Sciences 145,"classname | minimumgrade | prerequisite | corequisite | rqs_sev
(  Physics 1A and | D- | Yes | --- | R
   Physics 1B and | D- | Yes | --- | R
   Physics 1C) or | D- | Yes | --- | R
(  Physics 6A and | D- | Yes | --- | R
   Physics 6B and | D- | Yes | --- | R
   Physics 6C)  | D- | Yes | --- | R",MW,01:00 pm,02:15 pm,MS,07124B,"Li, Q."
37,A&O SCI C160,Atmospheric and Oceanic Sciences C160,"classname | minimumgrade | prerequisite | corequisite | rqs_sev
   Physics 1C or | D- | Yes | --- | R
   Physics 5B  | D- | Yes | --- | R",MW,09:15 am,10:30 am,MS,07101,"Stutz, J.P."
38,A&O SCI C170,Atmospheric and Oceanic Sciences C170,"classname | minimumgrade | prerequisite | corequisite | rqs_sev
   Mathematics 33A and | D- | Yes | --- | R
   Physics 1C  | D- | Yes | --- | R",TR,02:00 pm,03:15 pm,MS,07124A,"Varney, R.H."
40,A&O SCI 189HC,Atmospheric and Oceanic Sciences 189HC,,VAR,12:00 am,12:00 am,,,"Bianchi, D."
41,A&O SCI M192A,Atmospheric and Oceanic Sciences M192A,,T,03:30 pm,04:45 pm,WGYOUNG,CS00050,"Shaked, S."
42,A&O SCI 192B,Atmospheric and Oceanic Sciences 192B,"classname | minimumgrade | prerequisite | corequisite | rqs_sev
   Life Sciences M192A  | D- | Yes | Yes | R",VAR,12:00 am,12:00 am,,,"Shaked, S."
44,A&O SCI 199,Atmospheric and Oceanic Sciences 199,,VAR,12:00 am,12:00 am,,,"Baijnath-Rodino, J"
45,A&O SCI 199,Atmospheric and Oceanic Sciences 199,,VAR,12:00 am,12:00 am,,,"Paulson, S.E."
46,A&O SCI 199,Atmospheric and Oceanic Sciences 199,,VAR,12:00 am,12:00 am,,,"Chen, G."
47,A&O SCI 199,Atmospheric and Oceanic Sciences 199,,VAR,12:00 am,12:00 am,,,"Mitchell, J.L."
48,A&O SCI 199,Atmospheric and Oceanic Sciences 199,,VAR,12:00 am,12:00 am,,,"Stewart, A.L."
49,A&O SCI 199,Atmospheric and Oceanic Sciences 199,,VAR,12:00 am,12:00 am,,,"Kok, J.F."
50,A&O SCI 202,Atmospheric and Oceanic Sciences 202,,MW,01:15 pm,02:45 pm,MS,07124A,"McWilliams, J.C."
51,A&O SCI M203A,Atmospheric and Oceanic Sciences M203A,,MW,10:30 am,11:45 am,MS,07121,"Paulson, S.E."
52,A&O SCI M203A,Atmospheric and Oceanic Sciences M203A,,R,11:00 am,11:50 am,MS,07121,"Paulson, S.E."
53,A&O SCI 203B,Atmospheric and Oceanic Sciences 203B,"classname | minimumgrade | prerequisite | corequisite | rqs_sev
   Atmospheric and Oceanic Sciences 200C  | D- | Yes | --- | R",MW,01:00 pm,02:15 pm,MS,07121,"Kok, J.F."
55,A&O SCI C205A,Atmospheric and Oceanic Sciences C205A,,TR,02:00 pm,03:15 pm,MS,07124A,"Varney, R.H."
57,A&O SCI 209,Atmospheric and Oceanic Sciences 209,,TR,02:00 pm,03:15 pm,MS,07101,"Neelin, J.D."
58,A&O SCI C222,Atmospheric and Oceanic Sciences C222,,MW,10:30 am,11:45 am,MS,07124A,"Chamecki, M."
59,A&O SCI C227,Atmospheric and Oceanic Sciences C227,,TR,11:00 am,12:45 pm,MS,07101,"Chen, G."
60,A&O SCI CM237A,Atmospheric and Oceanic Sciences CM237A,,MW,10:00 am,11:30 am,GEOLOGY,04677,"Treude, T.I."
61,A&O SCI C240B,Atmospheric and Oceanic Sciences C240B,"classname | minimumgrade | prerequisite | corequisite | rqs_sev
   Physics 1C or | D- | Yes | --- | R
   Physics 5B  | D- | Yes | --- | R",MW,09:15 am,10:30 am,MS,07101,"Stutz, J.P."
62,A&O SCI 270,Atmospheric and Oceanic Sciences 270,,W,03:00 pm,04:20 pm,MS,07124,"McWilliams, J.C."
63,A&O SCI 271,Atmospheric and Oceanic Sciences 271,,R,03:30 pm,04:20 pm,MS,07124A,"Stewart, A.L."
64,A&O SCI M275B,Atmospheric and Oceanic Sciences M275B,,F,03:30 pm,04:50 pm,FRANZ,02288,"Russell, C.T."
65,A&O SCI 296A,Atmospheric and Oceanic Sciences 296A,,VAR,12:00 am,12:00 am,,,"Stewart, A.L."
