index,course_id,full_course_id,days_of_wk_cd,meet_strt_tm,meet_stop_tm,meet_bldg_cd,meet_room_cd,instructors,requisites_logic
0,A&O SCI 1,Atmospheric and Oceanic Sciences 1,TR,11:00 am,12:15 pm,LAKRETZ,00110,"Fu, R.; TA",
10,A&O SCI 1L,Atmospheric and Oceanic Sciences 1L,VAR,12:00 am,12:00 am,,,"Fu, R.; TA","{'prerequisites': {'type': 'AND', 'conditions': ['Atmospheric  Oceanic Sciences 1']}, 'corequisites': None}"
11,A&O SCI 2,Atmospheric and Oceanic Sciences 2,VAR,12:00 am,12:00 am,ONLINE,00000LA,"Li, Q.; TA",
21,A&O SCI 2L,Atmospheric and Oceanic Sciences 2L,VAR,12:00 am,12:00 am,,,"Li, Q.; TA","{'prerequisites': {'type': 'AND', 'conditions': ['Atmospheric  Oceanic Sciences 2']}, 'corequisites': None}"
22,A&O SCI 3,Atmospheric and Oceanic Sciences 3,TR,12:30 pm,01:45 pm,DODD,00175,"Chen, G.; TA",
26,A&O SCI 3L,Atmospheric and Oceanic Sciences 3L,VAR,12:00 am,12:00 am,,,"Chen, G.; TA","{'prerequisites': {'type': 'AND', 'conditions': ['Atmospheric  Oceanic Sciences 3']}, 'corequisites': None}"
27,A&O SCI 19,Atmospheric and Oceanic Sciences 19,W,05:00 pm,06:00 pm,MS,07121,"Treude, T.I.",
28,A&O SCI 90,Atmospheric and Oceanic Sciences 90,MW,01:00 pm,02:15 pm,MS,07101,"Kok, J.F.; TA","{'prerequisites': {'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Atmospheric  Oceanic Sciences M71']}, 'Program in Computing 10A', 'Mathematics 3A', {'type': 'OR', 'conditions': ['Mathematics 3B']}, 'Mathematics 31A', {'type': 'OR', 'conditions': ['Mathematics 31B']}, 'Life Sciences 30A', 'Life Sciences 30B']}, 'corequisites': None}"
30,A&O SCI 102,Atmospheric and Oceanic Sciences 102,TR,02:00 pm,03:15 pm,DODD,00175,"Neelin, J.D.; TA","{'prerequisites': {'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Mathematics 3C']}, 'Mathematics 32A', {'type': 'OR', 'conditions': ['Physics 1B', 'Physics 6C']}]}, 'corequisites': None}"
34,A&O SCI 107,Atmospheric and Oceanic Sciences 107,MW,03:30 pm,04:45 pm,DODD,00161,"Eagle, R.A.; TA",
39,A&O SCI 121,Atmospheric and Oceanic Sciences 121,MW,01:00 pm,02:15 pm,MS,07124,"Paulson, S.E.","{'prerequisites': {'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Atmospheric  Oceanic Sciences 1', 'Atmospheric  Oceanic Sciences 2', 'Atmospheric  Oceanic Sciences 3', 'Atmospheric  Oceanic Sciences 51', 'Atmospheric  Oceanic Sciences M100', 'Atmospheric  Oceanic Sciences 102']}, 'Atmospheric  Oceanic Sciences 112']}, 'corequisites': None}"
40,A&O SCI 130,Atmospheric and Oceanic Sciences 130,M,09:30 am,12:30 pm,MS,07101,"Stewart, A.L.",
