course_id,full_course_id,requisites,days_of_wk_cd,meet_strt_tm,meet_stop_tm,meet_bldg_cd,meet_room_cd,instructors
A&O SCI 1L,Atmospheric and Oceanic Sciences 1L,"{'type': 'AND', 'conditions': ['Atmospheric  Oceanic Sciences 1']}",VAR,12:00 am,12:00 am,,,"Seibt, U.; Bigwood, J.L.; Song, A.; Han, S."
A&O SCI 3L,Atmospheric and Oceanic Sciences 3L,"{'type': 'AND', 'conditions': ['Atmospheric  Oceanic Sciences 3']}",VAR,12:00 am,12:00 am,,,"Baijnath-Rodino, J; Petrusevski, C."
A&O SCI 51,Atmospheric and Oceanic Sciences 51,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Mathematics 3B']}, 'Mathematics 32A', {'type': 'OR', 'conditions': ['Physics 1A', 'Physics 5A', 'Physics 5B']}]}",TR,09:30 am,10:45 am,MS,07124A,"Dong, Y."
A&O SCI C110,Atmospheric and Oceanic Sciences C110,"{'type': 'AND', 'conditions': ['Atmospheric  Oceanic Sciences 101']}",TR,11:00 am,12:45 pm,MS,07101,"Chen, G."
A&O SCI C144,Atmospheric and Oceanic Sciences C144,"{'type': 'AND', 'conditions': ['Atmospheric  Oceanic Sciences 101']}",MW,10:30 am,11:45 am,MS,07124A,"Chamecki, M."
A&O SCI 145,Atmospheric and Oceanic Sciences 145,"{'type': 'AND', 'conditions': ['Physics 1A', 'Physics 1B', {'type': 'OR', 'conditions': ['Physics 1C']}, 'Physics 6A', 'Physics 6B', 'Physics 6C']}",MW,01:00 pm,02:15 pm,MS,07124B,"Li, Q."
A&O SCI C160,Atmospheric and Oceanic Sciences C160,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Physics 1C', 'Physics 5B']}]}",MW,09:15 am,10:30 am,MS,07101,"Stutz, J.P."
A&O SCI C170,Atmospheric and Oceanic Sciences C170,"{'type': 'AND', 'conditions': ['Mathematics 33A', 'Physics 1C']}",TR,02:00 pm,03:15 pm,MS,07124A,"Varney, R.H."
A&O SCI 192B,Atmospheric and Oceanic Sciences 192B,"{'type': 'AND', 'conditions': ['Life Sciences M192A']}",VAR,12:00 am,12:00 am,,,"Shaked, S."
A&O SCI 203B,Atmospheric and Oceanic Sciences 203B,"{'type': 'AND', 'conditions': ['Atmospheric  Oceanic Sciences 200C']}",MW,01:00 pm,02:15 pm,MS,07121,"Kok, J.F."
A&O SCI C240B,Atmospheric and Oceanic Sciences C240B,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['Physics 1C', 'Physics 5B']}]}",MW,09:15 am,10:30 am,MS,07101,"Stutz, J.P."
AERO ST 130B,Aerospace Studies 130B,"{'type': 'AND', 'conditions': ['Aerospace Studies 1A', 'Aerospace Studies 1B', 'Aerospace Studies 1C', 'Aerospace Studies 20A', 'Aerospace Studies 20B', 'Aerospace Studies 20C']}",F,12:00 pm,02:50 pm,SAC,00120P,"Everhart, R."
AERO ST 140B,Aerospace Studies 140B,"{'type': 'AND', 'conditions': ['Aerospace Studies 1A', 'Aerospace Studies 1B', 'Aerospace Studies 1C', 'Aerospace Studies 20A', 'Aerospace Studies 20B', 'Aerospace Studies 20C']}",F,12:00 pm,02:50 pm,SAC,00215,"Allison, M.A."
AF AMER M8B,African American Studies M8B,"{'type': 'AND', 'conditions': ['African American Studies M8A']}",TR,05:30 pm,07:20 pm,PUB AFF,02292,"Adhanom, A.K."
AF AMER M104B,African American Studies M104B,"{'type': 'AND', 'conditions': [{'type': 'OR', 'conditions': ['English Composition 3', 'English as A Second Language 36']}]}",MW,04:00 pm,05:50 pm,DODD,00078,"Streeter, C.A."
AF AMER 201B,African American Studies 201B,"{'type': 'AND', 'conditions': ['African American Studies 201A']}",MW,02:00 pm,03:50 pm,KAUFMAN,00136,"Streeter, C.A."
AM IND M162,American Indian Studies M162,"{'type': 'AND', 'conditions': ['American Indian Studies M10', 'Anthropology 4']}",TR,12:30 pm,01:45 pm,FOWLER,A00139,"Kroskrity, P.V."
AM IND M267,American Indian Studies M267,"{'type': 'AND', 'conditions': ['American Indian Studies M238A', {'type': 'OR', 'conditions': ['American Indian Studies 238B']}, 'American Indian Studies M265A', 'American Indian Studies 265B']}",MTR,01:45 pm,03:10 pm,LAW,,"Van Schilfgaarde,"
ANTHRO 111,Anthropology 111,"{'type': 'AND', 'conditions': ['Anthropology 2']}",TR,11:00 am,12:15 pm,FOWLER,A00139,"Lesure, R.G."
ANTHRO 137P,Anthropology 137P,"{'type': 'AND', 'conditions': ['Anthropology 3']}",TR,11:00 am,12:15 pm,BUNCHE,01221A,"Lemelson, R.B."
ANTHRO 154P,Anthropology 154P,"{'type': 'AND', 'conditions': ['Anthropology 4']}",MW,05:00 pm,06:15 pm,BROAD,02100A,"Hauck, J."
ANTHRO M156,Anthropology M156,"{'type': 'AND', 'conditions': ['Anthropology 4', 'American Indian Studies M10']}",TR,12:30 pm,01:45 pm,FOWLER,A00139,"Kroskrity, P.V."
ART 21A,Art 21A,"{'type': 'AND', 'conditions': ['Art 11B']}",F,01:00 pm,04:50 pm,BROAD,02100B,"Sprague, S.J."
ART 130A,Art 130A,"{'type': 'AND', 'conditions': ['Art 1A']}",MW,01:00 pm,04:50 pm,BROAD,07240,"Wu, J.Z.; Flowers, M."
